Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
Evangelische Tageseinrichtung für Kinder Dülkener Str.;Dülkener Straße 10;47804;Krefeld;swm@ev-kita-lindental.de;02151 712510;Evangelischer Gemeindeverband;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindertageseinrichtung Kinderzeit e.V.;Girmesdyk 24;47803;Krefeld;leitung@kinderzeit-krefeld.de;02151-6530828;Kinderzeit e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath Tageseinrichtung für Kinder St. Margareta;Kirchgasse 1a;47809;Krefeld;fz-linn@arcor.de;02151/570600;Kirchengemeinde St. Nikolaus;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindergarten St. Anna I;An der Annakirche 17;47803;Krefeld;kindergarten@st-anna-krefeld.de;02151-753371;Katholischer Kirchengemeindeverband Krefeld-Nord-West;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Gertrudis;Buschstr. 313/ 315;47800;Krefeld;kindergartenstgertrudis@t-online.de;0 21 51 - 59 69 73;Katholische Kirchengemeinde St. Christophorus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Clemens;Bruderschaftsweg 2;47807;Krefeld;tfkst.clemens@web.de;0 21 51 - 30 09 49;Katholischer Kirchengemeindeverband Krefeld-Süd;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindertagesstätte Maria Waldrast;Hermann-Schumacher-Str. 50;47804;Krefeld;bina.aliti@gmx.de;02151-397798;Katholischer Kirchengemeindeverband Krefeld-Süd;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder Herz Jesu;Friedrich-Ebert-Str. 166;47800;Krefeld;kita-herz-jesu@st-christophorus-krefeld.de;0 21 51 - 5807076;Katholische Kirchengemeinde St. Christophorus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Josef;Garnstraße 56;47798;Krefeld;kita-st.josef-krefeld@web.de;0 21 51 - 64 50 12;Katholischer Kirchengemeindeverband Krefeld-Mitte;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Evangelische Tageseinrichtung für Kinder Germaniastr.;Germaniastr. 135;47800;Krefeld;info@kita-bockum.de;591436;Evangelischer Gemeindeverband;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Montessori-Kinderhaus;Hauptstr.10;47809;Krefeld;kita@montessori-kinderhaus-oppum.de;0 21 51 - 55 85 60;Katholischer Kirchengemeindeverband Krefeld-Süd;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Herbertzstr. 123;Herbertzstr. 123;47809;Krefeld;sylke.bleckmann@krefeld.de;02151/54 64 96;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindergarten St. Elisabeth von Thüringen;Inrather Straße 574;47803;Krefeld;kita@fz-stelisabeth-inrath.de;02151-753465;Katholischer Kirchengemeindeverband Krefeld-Nord-West;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindergarten St. Martin;Ispelsstr. 69;47805;Krefeld;arens@kita-st-martin-krefeld.de;02151-398901;Katholischer Kirchengemeindeverband Krefeld-Süd;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder  St. Norbertus;Frankenring 108;47798;Krefeld;kita-st.norbertus@t-online.de;0 21 51 - 77 28 62;Katholischer Kirchengemeindeverband Krefeld-Mitte;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindergarten St.Heinrich;Heinrich Theißen Str.7;47829;Krefeld;kindergarten_st.heinrich@yahoo.de;02151 / 5183717;Kirchengemeinde St. Nikolaus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Steckendorfer Str. 60a;Steckendorferstraße 60 a;47799;Krefeld;sybille.claessens@krefeld.de;02151/2 56 08;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindergarten St. Franziskus;Goethestr. 88;47799;Krefeld;k_franziskusgoethe@web.de;02151/25128;Katholischer Kirchengemeindeverband Krefeld-Mitte;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Ev. Kindergarten;Kastanienstr. 95;47829;Krefeld;info@uerdingen-evangelisch.de;02151-476368;Ev. Kirchengemeinde Uerdingen;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Raiffeisenstr. 30;Raiffeisenstr. 30;47803;Krefeld;nicole.dierkes@krefeld.de;02151/75 06 51;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder Liebfrauen;Geldernsche Str. 97;47798;Krefeld;info@kita-liebfrauen.de;0 21 51 - 24 358;Katholischer Kirchengemeindeverband Krefeld-Mitte;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Andreas;Legionstr. 40;47809;Krefeld;kita-st-andreas-stratum@t-online.de;0 21 51 - 57 09 35;Kirchengemeinde St. Nikolaus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Märklinstr. 10;Märklinstraße 10;47805;Krefeld;sabine.bender@krefeld.de;02151/31 25 17;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Maria Himmelfahrt;Königsberger Str. 90;47809;Krefeld;fz-linn@arcor.de;02151/570640;Kirchengemeinde St. Nikolaus;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrictung für Kinder St. Peter;Am Wallgarten 15;47829;Krefeld;kindergarten_st.peter@t-online.de;0 21 51 - 48 13 32;Kirchengemeinde St. Nikolaus;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Montessori Kinderhaus St. Stephan;Philadelphiastr. 50 - 52;47799;Krefeld;monte-st-stephan@arcor.de;02151/24490;Katholischer Kirchengemeindeverband Krefeld-Mitte;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Evangelische Tageseinrichtung für Kinder Thielenstr.;Thielenstr. 29;47809;Krefeld;kindergarten.thielenstrasse@t-online.de;544792;Evangelischer Gemeindeverband;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Thomas-Morus;Urfeystraße 25;47803;Krefeld;kitathomo@web.de;0 21 51 - 774514;Katholischer Kirchengemeindeverband Krefeld-Nord-West;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Verberger Str. 23;Verberger Straße 23;47800;Krefeld;monika.dankwardt@krefeld.de;02151/50 30 71;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Evangelische Tageseinrichtung für Kinder Kölner Str.;Kölner Str. 480;47807;Krefeld;kita-markuskirche@t-online.de;300841;Evangelischer Gemeindeverband;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Lioba;Bonifatiusstrasse 25;47807;Krefeld;st.lioba-stahldorf@t-online.de;0 21 51 - 31 63 97;Katholischer Kirchengemeindeverband Krefeld-Süd;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Körnerstr. 22;Körnerstraße 22;47829;Krefeld;van.de.loo-naeder@krefeld.de;02151/47 68 59;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Josef;Am Egelsberg 29;47802;Krefeld;kita-st-josef@st-christophorus-krefeld.de;0 21 51 -  56 03 09;Katholische Kirchengemeinde St. Christophorus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St. Pius X;Breslauer Straße 68;47829;Krefeld;kiga.piusx@gmx.de;0 21 51 - 4 29 17;Kirchengemeinde St. Nikolaus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Waldorfkindergarten Kaiserstraße;Kaiserstr. 43;47800;Krefeld;kaiser@waldorfkindergarten-krefeld.de;02151-596264;Rudolf Steiner Waldorfkindergarten e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindergarten der Bürgerinitiative Rund um St. Josef e.V.;Dreikönigenstr. 147-149;47798;Krefeld;familienzentrum@bi-krefeld.de;02151- 77 82 95;Bürgerinitiative Rund um St. Josef e.V.;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Tageseinrichtung für Krefeld Preußenring 113;Preußenring 113;47798;Krefeld;n.niessen@marianum-krfeld.de;02151 807835;Kath. Armenverwaltung Krefeld;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städtische Kindertageseinrichtung Am Kinderhort 28;Am Kinderhort 28;47804;Krefeld;annegret.nentwig@krefeld.de;02151/71 14 26;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Grevenbroicher Str. 84;Grevenbroicher Straße 84;47807;Krefeld;beate.messner@krefeld.de;02151/30 35 75;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Evangelische Tageseinrichtung für Kinder Breslauer Str.;Breslauer Str. 10;47829;Krefeld;kita.breslauerstr@t-online.de;42772;Evangelischer Gemeindeverband;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindergarten Hexenkessel;Zwingenbergstr. 104;47802;Krefeld;hexenkessel.krefeld@arcor.de;02151-561035;Elterninitiative Kindergarten Hexenkessel e. V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Evangelische Tageseinrichtung für Kinder Märklinstr.;Märklinstr. 2;47805;Krefeld;kg.maerklinstr@t-online.de;315220;Evangelischer Gemeindeverband;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Montessori-Kinderhaus St. Hubertus;Hohen Dyk 128;47803;Krefeld;info@kinderhaus-montessori.de;0 21 51 - 56 15 49;Katholische Kirchengemeinde St. Christophorus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Neuhofsweg 25 ;Neuhofsweg 25;47829;Krefeld;evelyn.kuhn@krefeld.de;02151/47 31 49;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Waldorf Kindergarten Fichtenhain;Bückerfeldstr. 22;47803;Krefeld;info@waldorfkindergarten-fichtenhain.de;02151-313699;Waldorf-Kindergarten Fichtenhain e. V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Lutherplatz 40 (inkl. Dependance Spinnereistr.);Lutherplatz 40;47805;Krefeld;ria.maas@krefeld.de;02151/39 54 36;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Mittelorbroich 73;Mittelorbroich 73;47839;Krefeld;heidrun.listander@krefeld.de;02151/73 18 65;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Luth.-Kirch-Str. 63-65;Lutherische-Kirch-Straße 63-65;47798;Krefeld;petra.zadeh@krefeld.de;02151/60 63 55;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Jakob-Hüskes-Str. 47;Jakob-Hüskes-Straße 47;47839;Krefeld;marlene.sperling@krefeld.de;02151/ 369 91 36;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindertagesstätte St. Antonius - Familienzentrum;Oberdießemerstr. 93;47805;Krefeld;kita@caritas-krefeld.de;02151/318488;Caritasverband für die Region Krefeld e.V.;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Advent-Kindergarten Steckendorfer Straße;Steckendorfer Straße 151-153;47798;Krefeld;advent-kindergarten-KR@web.de;2151614450;Advent-Kindergarten e. V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Prinzenbergstr. 80;Prinzenbergstraße 80;47803;Krefeld;monika.piefer@krefeld.de;02151/360 19 88;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Fungendonk 29;Fungendonk 29;47809;Krefeld;ricarda.franzen@krefeld.de;02151/54 65 75;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Felbelstr. 6;Felbelstraße 6;47799;Krefeld;sabine.schuffels@krefeld.de;02151/61 53 34;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Cäcilienstr. 15;Cäcilienstraße 15;47839;Krefeld;saskia.loy@krefeld.de;02151/73 57 55;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Breite Str. 107 (inkl. Dependance Petersstr.);Breite Straße 107;47798;Krefeld;claudia.weidner@krefeld.de;02151/2 36 46;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Kindergarten Marianum;Hubertusstraße 226;47798;Krefeld;n.niessen@marianum-krefeld.de;02151 807835;Kath. Armenverwaltung Krefeld;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindergarten Kinder und Eltern e.V. Die Wühlmäuse;Wimmersweg 31;47807;Krefeld;vorstand@wuehlmaeuse-krefeld.de;02151-303121;Verein Kinder und Eltern e.V. - Die Wühlmäuse;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Remscheider Str. 12;Remscheider Straße 12;47807;Krefeld;regina.lavendel@krefeld.de;02151/31 49 42;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Arnsweg 20;Arnsweg 20;47802;Krefeld;elke.bogausch@krefeld.de;02151/562203;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Kreuzweg 49;Kreuzweg 49;47809;Krefeld;marion.litschke@krefeld.de;02151/57 14 84;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kath. Tageseinrichtung für Kinder St.Nikolaus;Burgstr.7a;47829;Krefeld;info@kita-st-nikolaus-krefeld.de;0 21 51 - 5315771;Kirchengemeinde St. Nikolaus;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindergarten Klein + Groß;Kölner Str. 403;47807;Krefeld;info@kindergartenkleinundgross.de;02151/396141;"Kindergarten Klein &amp; Groß e.V.";nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Dieselstr. 25;Dieselstraße 24;47803;Krefeld;d.thanscheidt-textor@krefeld.de;02151/75 67 43;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Leuther Str. 15;Leuther Straße 15;47839;Krefeld;roswitha.jentges@krefeld.de;02151/73 67 10;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Legionstr. 8;Legionstraße 8;47809;Krefeld;astrid.wolters@krefeld.de;02151/57 29 41;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kinderinsel-Kindertagesstätte;Glockenspitz 406;47809;Krefeld;post@kinderinsel-ev.de;02151/598188;Kinderinsel eV;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Bacherhofstr. 75;Bacherhofstraße 75;47809;Krefeld;dorothea.becker@krefeld.de;02151/54 25 47;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Alte Gladbacher Str. 21;Alte Gladbacher Straße 21;47805;Krefeld;sylvia.strobel@krefeld.de;02151/ 398894;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
"Kindertagesstätte &quot;Krokobär&quot;";Reinarzstr.17;47805;Krefeld;krokobaer@gmx.de;02151 317000;Förderverein Familie und Kind e. V. z. H. Frau E. Lenzen-Bußler;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Feldstr. 30;Feldstr. 30;47805;Krefeld;birgit.maeder@krefeld.de;02151/31 67 86;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
AWO Kita Gerberstraße 50a;Gerberstraße 50a;47798;Krefeld;tfk-50@awo-krefeld.de;02151-398724;Arbeiterwohlfahrt Bezirksverband Niederrhein e.V.;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
AWO Kita Gerberstraße 45;Gerberstraße 45;47798;Krefeld;FamZ.Kita.Gerberstr45@awo-niederrhein.de;02151-395290;Arbeiterwohlfahrt Bezirksverband Niederrhein e.V.;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Westwall;Westwall 200;47798;Krefeld;udo.giermanns@krefeld.de;21511520182;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
"Kindertagesstätte &quot;Pfiffikus&quot;";Wilmendyk 75;47803;Krefeld;pfiffikus@kinderschutzbund-krefeld.de;02151-758660;Deutscher Kinderschutzbund e.V Ortsverband Krefeld;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Familienzentrum Dreikäsehoch;Kanesdyk 35;47803;Krefeld;dreikaesehoch@kinderschutzbund-krefeld.de;02151-752625;Deutscher Kinderschutzbund e.V Ortsverband Krefeld;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Geldernsche Str. 89-95;Geldernsche Straße 89-95;47798;Krefeld;nicole.hoppe@krefeld.de;02151/60 63 58;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Waldkindergarten Waldameisen;Talring 181;47802;Krefeld;mail@waldameisen-krefeld.de;02151/730637 oder 0172/2099072;Elterninitiative Waldameisen e. V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung An de Dreew 16;An de Dreew 16;47839;Krefeld;birgit.mahlke@krefeld.de;02151/ 74 31 11;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Integrative Tagesstätte für Kinder (Bischofstraße);Bischofstraße 20;47809;Krefeld;bischofstrasse@lebenshilfe-krefeld.de;02151-548350;Lebenshilfe für Menschen mit geistiger Behinderung Krefeld e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Integrative Kindertagesstätte Am Hauserhof;Am Hauserhof 10;47803;Krefeld;hauserhof@lebenshilfe-krefeld.de;02151-787576;Lebenshilfe für Menschen mit geistiger Behinderung Krefeld e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Ritterstr. 150 (inkl. Dependance Oberdießemer Str.);Ritterstraße 150;47805;Krefeld;simone.sanchez@krefeld.de;02151/39 88 80;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Arndtstraße 100;Arndtstraße 100;47829;Krefeld;m.schuetz-breden@krefeld.de;02151/ 48 11 11;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Hohenzollernstr. 93;Hohenzollernstraße 93;47799;Krefeld;marion.bessems@krefeld.de;02151/59 63 63;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Viktoriastraße 96;Viktoriastraße 96;47799;Krefeld;sonja.loehmann@krefeld.de;02151/36 09 52;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Florastraße;Florastraße 19;47799;Krefeld;heike.brassington@krefeld.de;21511540747;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Kuhleshütte 186;Kuhleshütte 186;47809;Krefeld;r.van.eickels@krefeld.de;02151/54 69 30;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Niederbruchstr. 70;Niederbruchstraße 70;47807;Krefeld;astrid.schou@krefeld.de;02151/93 38 54;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Kurfürstenstr. 18;Kurfürstenstraße 18 ;47829;Krefeld;a.letschert@krefeld.de;02151/94 46 44;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Hermannstr. 39;Hermannstraße 39;47798;Krefeld;heike.buecker@krefeld.de;02151/78 78 30;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Am Kempschen Weg 51;Am Kempschen Weg 51;47804;Krefeld;b.serafiniak-schimmack@krefeld.de;02151/78 84 54;Stadt Krefeld - FB 51 -;ja;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Peter-Lauten-Str. 62a (inkl. Dependance Auf der Kempener Platte);Peter-Lauten-Str. 62a;47803;Krefeld;brigitte.debonnaire@krefeld.de;02151/152 14 84;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Kindertageseinrichtung Sonnenland;Dreikönigenstr. 126;47798;Krefeld;info@sonnenland-kita.de;02151-6451324;Elterninitiative Sonnenland e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Gatzenstraße;Gatzenstr. 179;47802;Krefeld;andrea.tekaat@krefeld.de;02151/569 59 29;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
stups - Kinderzentrum InKiTa;Jakob - Lintzen - Str. 8;47807;Krefeld;Nancy.Gasper@drk-schwesternschaft-kr.de;02151/7376501;DRK Schwesternschaft Krefeld e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Sportpark- Zwerge e.V.;Löschenhofweg 70;47829;Krefeld;info@sportpark-zwerge.de;02161/6169720;Sportpark- Zwerge e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Krützboomweg;Krützboomweg 1;47807;Krefeld;christa.bayertz@krefeld.de;02151 / 365 95 48;Stadt Krefeld - FB 51 -;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
AWO Kita SieKids;Adolf-Dembach-Straße;47829;Krefeld;Kita.siekids.krefeld@awo-niederrhein.de;nicht vorhanden;Arbeiterwohlfahrt Bezirksverband Niederrhein e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Zaubersterne;Hölschen Dyk 29;47839;Krefeld;bitte@ausfuellen.de;bitte ausfüllen;Zaubersterne e.V.;nein;Stadtverw. Krefeld;Von-der-Leyen-Platz 1;47798;Krefeld
Städt. Kindertageseinrichtung Markusweg;Markusweg 1;51371;Leverkusen;Kita-Markusweg@stadt.leverkusen.de;0214-65954;Stadtverwaltung -Fachbereich Kinder und Jugend-;nein;Stadt Leverkusen - Fachbereich Kinder und Jugend;Goetheplatz 1 - 4;51379;Leverkusen
Städt. Kindertageseinrichtung Pregelstr. 23;Pregelstr. 23;51371;Leverkusen;Kita-Pregelstrasse@stadt.leverkusen.de;0214-22421;Stadtverwaltung -Fachbereich Kinder und Jugend-;ja;Stadt Leverkusen - Fachbereich Kinder und Jugend;Goetheplatz 1 - 4;51379;Leverkusen
DRK Kita Carl-Rumpff-Str. 11;Carl-Rumpff-Str. 11;51373;Leverkusen;carl-rumpff-str@drk-leverkusen.de;02171/4006-215;Deutsches Rotes Kreuz Kreisverband Leverkusen e.V.;nein;Stadt Leverkusen - Fachbereich Kinder und Jugend;Goetheplatz 1 - 4;51379;Leverkusen
